mole_id,canonical_SMILES,logc,IE_exp,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,IE_predicted
102,O=C1SC2C=CC=CC=2NC1C1=CC=C(C=C1)C,-3,92.0,12.14285194633409,12.14285194633409,0.15051209372637953,-0.24490740740740824,0.8404437819877639,18.055555555555557,255.34199999999998,242.23799999999994,255.071785036,90,0,0.22004043093726397,-0.36997897343793545,0.36997897343793545,0.22004043093726397,1.0555555555555556,1.7777777777777777,2.5555555555555554,32.16661758308735,10.05521806236035,2.2691799269770256,-2.249354773860335,2.3865284572421976,-2.2202820848350506,8.135736899876362,-0.11137145600444555,2.389698208297913,1.9547133370614982,591.6975261916774,12.535169427003234,10.01264900363436,10.829145584562086,8.737183443017882,5.8771153137157786,6.693611894643504,4.405290955556427,5.45161043347799,3.043835681344187,4.056631574386198,2.0349311681765685,2.948069113028687,-1.7399999999999993,19146.26204488288,11.356070031395124,4.499913246699913,2.0167030621565307,110.41198682423865,5.316788604006331,6.041840829147961,0.0,5.11527693018572,0.0,0.0,4.794537184071822,0.0,0.0,0.0,41.96165390246666,36.38180777770195,10.582869750201336,0.0,4.794537184071822,22.564548154260397,0.0,0.0,0.0,17.86106150435636,5.316788604006331,59.65783953108687,0.0,0.0,5.316788604006331,5.687386274683562,0.0,11.761884949391115,5.11527693018572,4.794537184071822,6.923737199690624,17.16874381254195,53.42642002321065,0.0,0.0,0.0,29.1,0.0,4.794537184071822,0.0,11.15711775933368,0.0,16.14632124189833,17.325336441088112,0.0,55.45467374738351,5.316788604006331,0.0,0.0,1.3176027494331064,13.14827942596792,3.462614323507181,3.259573780129336,0.0,15.766343169984042,0.0,2.045586550978416,0.0,0.13333333333333333,18,1,2,0,1,1,0,2,0,2,1,0,3,1,3,1,1,0,0,0,0,1,2.8389627758181564,3,3.780520000000002,74.84870000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,88.96561558639878
103,OC[C@@H]1O[C@@H](O)C([C@@H]([C@H]1O)O)N1C(=C(C#N)C(C2=C1NC(=O)NC2=O)C1=CC=C(C=C1)[N+](=O)[O-])N,-3,87.79,12.943875946600965,12.943875946600965,0.20613470542537948,-1.8790671080696322,0.17295321304219774,28.37142857142857,488.41300000000024,468.25300000000027,488.12917622,184,0,0.32678104366988225,-0.3935665226248833,0.3935665226248833,0.32678104366988225,1.1714285714285715,1.8285714285714285,2.4,16.632997980706076,9.819380660370046,2.500721390393106,-2.4712844949587702,2.4261523717416775,-2.6537921279538286,5.664558218327332,-0.38444831352041153,2.8176546172139703,1.9478853466691708,1344.5798625665568,25.60156533771294,17.729696363091456,17.729696363091456,16.598661868123127,10.20590106615277,10.20590106615277,7.952355483393925,7.952355483393925,6.035377081314687,6.035377081314687,4.399667362110461,4.399667362110461,-4.069999999999999,49515050.33056598,24.06720373484391,8.941282078226507,3.8444944277001625,194.63475330174046,35.79654974117553,35.9925768662703,6.290026729335213,0.0,11.24665316973557,5.689743398203474,24.876812494731812,4.794537184071822,5.261891554738487,0.0,12.13273413692322,5.563451491696996,12.13273413692322,34.65387639405052,30.086283581980542,11.50524905251859,5.261891554738487,9.967957041894417,5.733667477162185,36.56167276788947,11.506791695363397,77.73885281351679,0.0,6.069221312792274,21.882587501268144,11.50524905251859,0.0,0.0,72.5680263563159,4.736862953800049,21.44543113629633,17.044809029555385,45.24862126810175,0.0,0.0,0.0,252.05999999999997,59.340876074475545,45.39139377101053,0.0,34.02623066202425,0.0,4.899909730850478,24.26546827384644,0.0,11.053199833739482,4.9839785209472085,10.470530430962235,5.174807549491615,0.0,40.84442171555574,61.93340719158785,3.9397826644126894,-1.8541991055681526,5.247321752504002,-6.722128985609669,-0.7300794490407294,0.0,0.35,35,8,15,0,2,2,0,1,1,2,6,0,12,7,15,3,4,0,1,1,0,2,6.148333069353884,4,-2.582919999999997,115.69539999999998,0,4,4,0,0,2,2,0,0,0,0,0,0,0,0,3,2,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.17106373543301
104,CCCCCCSC1=NC=NN1,-3,91.0,4.03033060909549,4.03033060909549,0.9365726568405142,0.9365726568405142,0.5465561195739819,10.416666666666666,185.29600000000002,170.176,185.09866848,68,0,0.18288220207194306,-0.25426533608451657,0.25426533608451657,0.18288220207194306,1.4166666666666667,2.3333333333333335,3.0,32.166553651954544,10.207240104617858,1.9446682599877645,-1.9593991272001265,2.1317282807060844,-1.8198089943804825,7.9865748876547045,0.705769094090082,2.565879983302891,1.9625839260801985,186.19285964042137,8.648418081055103,7.415559656586144,8.23205623751387,5.931851652578136,4.413517436007572,5.399115995661061,2.699746791177718,3.7833685473033802,1.6295892094318818,2.592521849686087,0.9614849023431384,1.7422261818413294,-0.51,867.2674343563772,9.577032201914708,6.055960534640683,3.7588733548338538,77.3610757825539,0.0,6.3273200747645415,5.156436481820707,0.0,0.0,0.0,5.098681808301038,4.9839785209472085,5.098681808301038,0.0,37.94808701785977,6.4208216229260096,5.752853606746789,0.0,0.0,11.761884949391115,0.0,15.181342137549283,0.0,37.763460173215364,5.752853606746789,6.3273200747645415,0.0,0.0,0.0,0.0,0.0,11.761884949391115,20.934195744296073,0.0,0.0,32.60702369139466,11.483756556585249,0.0,0.0,0.0,41.57,0.0,0.0,0.0,0.0,0.0,10.909290088567495,25.683286491704038,18.089205024155657,0.0,22.105079337239907,0.0,0.0,1.7483578987150414,4.03033060909549,7.5467635896951375,0.0,1.1480092592592592,0.0,6.800753023431595,2.225785619803477,0.0,0.75,12,1,3,0,0,0,0,0,1,1,0,0,3,1,4,1,6,0,0,0,0,0,4.833177421148203,1,2.4771,51.24870000000003,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,90.07915792172963
106,C1SC=C(N=1)C1=NC2=C(N1)C=CC=C2,-3,86.1,4.443796296296297,4.443796296296297,0.8402314814814815,0.8402314814814815,0.6572828314318542,10.857142857142858,201.25400000000005,194.19799999999998,201.036068224,68,0,0.15753986414446197,-0.3366167979553031,0.3366167979553031,0.15753986414446197,1.2142857142857142,2.142857142857143,2.9285714285714284,32.13339358093719,10.31130071186756,2.045969264684041,-1.8447975497271505,2.189382492882755,-1.7723529796566309,7.074123717867946,1.2744979496585604,2.8620699835469217,2.244094775249905,520.5285963600785,9.38046888862398,7.266777096601535,8.083273677529261,6.932652990377572,4.266449207572569,5.209258249154633,2.976242260003058,3.694928558052375,2.0643154341193664,2.6507839623730076,1.403584864375561,1.9402513762824551,-1.6799999999999997,4544.967133872512,7.698702287693893,2.9198356996713994,1.1176994158766638,84.45898151061503,4.9839785209472085,5.693927994848461,5.824404497999927,0.0,0.0,0.0,0.0,9.967957041894417,0.0,11.336785877934737,12.13273413692322,12.13273413692322,5.380062770465915,16.543940708849902,0.0,22.370187313167257,0.0,14.951935562841626,0.0,0.0,0.0,35.15607031792973,0.0,11.518332492848387,0.0,0.0,0.0,11.336785877934737,14.951935562841626,0.0,0.0,0.0,35.15607031792973,0.0,22.551733928080907,0.0,41.57,0.0,0.0,0.0,0.0,0.0,22.551733928080907,0.0,11.336785877934737,35.15607031792973,14.951935562841626,0.0,0.0,1.5732204270597125,11.88132558578987,1.9838425925925927,4.749907407407408,0.8402314814814815,7.971472505668933,0.0,0.0,0.0,0.0,14,1,3,0,0,0,0,1,2,3,0,0,3,1,4,2,1,0,0,0,0,0,1.6056389843393215,3,2.6864,57.20170000000002,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91.76482252435234
107,O1CC1CN(C1=CC=C(C=C1)OC1C=CC(=CC=1)N(CC1OC1)CC1OC1)CC1OC1,-3,91.3,6.085780738221214,6.085780738221214,0.3525099079725006,0.3525099079725006,0.4855207064724662,27.483870967741936,424.49700000000036,396.2730000000002,424.1998219959999,164,0,0.12708018821865888,-0.4573792249474388,0.4573792249474388,0.12708018821865888,0.5483870967741935,0.8387096774193549,1.096774193548387,16.589683005700074,10.202826095108527,2.316027522635379,-2.236890434584983,2.291848482233659,-2.3107525870358763,5.521985884418663,0.3883786803457295,3.6265118066617714,1.0844273169718197,772.3475983782691,20.622745096813755,17.520726123087123,17.520726123087123,15.281122218727107,11.126603263795232,11.126603263795232,8.721197448821094,8.721197448821094,5.945002655871915,5.945002655871915,3.8338266507842227,3.8338266507842227,-2.32,47286254.26660594,19.371674048329673,8.314508797243109,5.4866293347388915,181.93187157214456,33.4841342307012,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.53093654769288,37.55379817301743,50.84339340904488,23.684314769000245,11.374772549367124,0.0,0.0,0.0,24.41586555099321,62.406372943402914,48.53093654769288,0.0,11.49902366656781,14.536682415501005,11.374772549367124,11.49902366656781,0.0,77.02241903269518,18.947451815200196,0.0,0.0,48.53093654769288,0.0,0.0,0.0,65.83,0.0,0.0,0.0,0.0,24.41586555099321,64.10557714826977,11.374772549367124,0.0,24.26546827384644,34.06528773554739,23.684314769000245,27.750518036281985,0.0,4.685828223465586,0.0,2.3498695442826314,1.660020051230369,16.557123060120894,1.4100396318900028,7.086601452728528,0.0,0.5,31,0,7,0,4,4,0,2,0,2,4,0,7,0,7,4,12,0,4,4,0,4,5.195675944908487,6,2.6869000000000005,116.34400000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.18901703563853
108,CCN(C1C=CC(=CC=1)C=NC1=NN=C(S1)S)CC,-3,96.9,4.26956711388259,4.26956711388259,0.6229809670781894,0.6229809670781894,0.6779094832202139,11.105263157894736,292.43300000000005,276.305,292.081638512,100,0,0.23190079145876435,-0.3720916464380516,0.3720916464380516,0.23190079145876435,1.2105263157894737,1.894736842105263,2.4210526315789473,32.1675101755878,10.177748510137086,2.006539885064364,-2.2029462288496986,2.2065599855003173,-2.210234447475308,7.823611500152681,0.8661959788041773,2.8496415214800557,2.079973688297329,544.0257894588588,13.664925939000156,10.94528117628488,12.65620494821252,9.223876650462412,6.141192603008422,7.404902779436107,3.8892316529142255,5.571375098991543,2.7494050060962167,3.7465659471433925,1.749910126725491,2.47158834826384,-1.4,29225.92344429945,14.018545496589201,6.675550267697799,3.778948267760264,122.17154351771846,4.899909730850478,0.0,4.339655680673546,5.131558479839333,0.0,0.0,0.0,4.992404732635669,0.0,22.826152764615067,23.469520014857956,31.54366002800146,24.99149966604403,0.0,0.0,40.99912036000594,0.0,10.197363616602075,4.992404732635669,18.187130080054793,17.98942254267563,29.828919765543436,0.0,0.0,4.899909730850478,10.818944754522896,0.0,23.96557502594773,29.501477007962542,0.0,0.0,19.410925891078243,33.59752868715566,0.0,0.0,0.0,41.38,0.0,0.0,0.0,0.0,9.47121416051288,18.652964303522147,17.0241721526183,6.2146005795353165,0.0,70.8314099013289,0.0,0.6287327120931017,5.466336572796212,6.573978208005986,8.312782642007932,2.280120491097674,0.0,8.329939776322052,1.7914112496850592,6.338920570214206,0.0,0.3076923076923077,19,0,4,0,0,0,0,1,1,2,0,0,6,1,6,1,5,0,0,0,0,0,4.925342375920517,2,3.423600000000002,84.41800000000002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.08792890175397
109,O=C(OC(C)(C)C)NCC1C=CC(=C2C=1C=CC=N2)O,-3,94.9,11.636675170068028,11.636675170068028,0.12649819958847774,-0.5251360412992363,0.8827956093505809,11.35,274.32,256.176,274.131742436,106,0,0.4074218495595238,-0.5056662633179342,0.5056662633179342,0.4074218495595238,1.35,2.1,2.8,16.566299433461527,10.082033275252508,2.157758548725817,-2.1946802719487395,2.2481519750043635,-2.316785310501653,5.869183706591178,0.05235729270422624,2.3621273725226803,2.149127236215783,632.5414975271308,14.75071237662706,11.804781899062322,11.804781899062322,9.365991962219567,6.390917105913902,6.390917105913902,5.498826861790484,5.498826861790484,2.6607329860101694,2.6607329860101694,1.8524987587035446,1.8524987587035446,-2.3,24381.878739179105,14.116368783779917,5.364833374604126,3.376103852162923,117.14153158391304,15.160178952647085,16.867263361883857,0.0,0.0,0.0,6.093240070938415,4.9839785209472085,4.794537184071822,0.0,0.0,12.13273413692322,38.46739722769209,18.12782419199045,0.0,14.637927532712576,16.996165003019474,0.0,10.30076712495354,0.0,32.917018815968135,0.0,36.02576333715651,0.0,5.749511833283905,5.316788604006331,4.794537184071822,5.749511833283905,0.0,21.784796797710015,11.281619359712625,0.0,26.334663090768867,30.462311845459517,0.0,10.902924932081056,0.0,71.45,11.694290881922104,9.901064578912528,0.0,5.749511833283905,12.061457123528836,10.949675706161791,0.0,24.395944776997908,26.83757866753348,10.30076712495354,4.736862953800049,5.180171091584782,0.0,15.770641455656337,13.256746777452946,0.8709268445032332,0.12649819958847774,6.977242535903249,1.1483826215671462,5.752723807077162,0.0,0.3333333333333333,20,2,5,0,0,0,1,1,1,2,0,0,4,2,5,1,2,0,0,0,0,0,3.7865983189721177,2,2.965100000000001,76.48150000000004,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92.62458022464307
110,CCOC(=O)CC(=O)NCC1C=CC(=C2C=1C=CC=N2)O,-3,83.1,11.627674319727891,11.627674319727891,0.09000009565350497,-0.5488603342571594,0.6428381202335378,10.333333333333334,288.303,272.17499999999995,288.111006992,110,0,0.3148049059804055,-0.5056662633181987,0.5056662633181987,0.3148049059804055,1.3333333333333333,2.142857142857143,2.9047619047619047,16.532306922684477,10.079719171084404,2.1103304569995367,-2.086402965178931,2.246981686889094,-2.2567774706223807,5.942201097915074,-0.14550129915211213,2.4689750510898407,2.0561050040213815,669.7712462714196,15.242276208189782,11.627243751899279,11.627243751899279,10.113392202930193,6.593805802881809,6.593805802881809,4.4019090752404715,4.4019090752404715,2.924900185145599,2.924900185145599,1.9703498889013025,1.9703498889013025,-2.6299999999999994,54865.56358531844,14.772348740088205,6.693864511461339,3.6849800427800337,121.30305368395679,15.160178952647085,17.687034173826177,0.0,5.907179729351506,0.0,5.969305287951849,14.573052889090853,0.0,0.0,0.0,12.13273413692322,24.619922828310838,18.12782419199045,6.606881964512918,19.432464716784395,22.779409949384416,0.0,10.30076712495354,0.0,19.88931522852921,6.606881964512918,36.02576333715651,0.0,5.749511833283905,5.316788604006331,0.0,5.749511833283905,0.0,28.573872897604183,20.870693727856267,0.0,18.90801031431363,30.462311845459517,0.0,10.902924932081056,0.0,88.52000000000001,11.876485017303356,14.69560176298435,0.0,25.32197182663541,5.516700717616262,10.949675706161791,6.06636706846161,25.25331490822692,6.06636706846161,10.30076712495354,4.736862953800049,4.70771017395837,0.0,26.927804547961927,13.148997930689816,1.294213480272734,-0.8629664366384238,6.812261220654979,1.2849950097501506,2.18698407335045,0.0,0.26666666666666666,21,2,6,0,0,0,1,1,1,2,0,0,5,2,6,1,5,0,0,0,0,0,4.708766713438432,2,1.5097999999999996,76.50450000000004,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87.45059127935379
111,FS(=O)(=O)[N-]S(=O)(=O)F.OCCN1CC=[N+](C1)C,-3,13.7,11.071319444444445,11.071319444444445,0.26555555555555554,-5.619791666666666,0.5134358321426812,17.0,309.31600000000003,296.21200000000005,309.02646895600003,108,0,0.24125464899974858,-0.39504007495238935,0.39504007495238935,0.24125464899974858,1.3333333333333333,1.8333333333333333,2.0555555555555554,32.314041867887056,10.55185261408184,2.1407002493587943,-2.0630040372901295,2.107845318960656,-2.2608264004580882,8.072182078447147,-0.501581755279203,2.45784637294544,3.211111050876545e-07,459.3520470022796,14.39734122549854,9.400050464737284,11.033043626592734,8.032805283882036,4.535221344056134,7.216064820578056,3.2803547452022443,5.525068714593952,1.6688806997674273,3.0933586267429325,1.0955566866718203,1.946298389654363,-0.6900000000000002,4011.205280646958,17.31,7.035902221397715,10.463098708733694,104.21680185417284,9.23392851973855,7.04767198267719,12.883291768434459,20.81849154855524,0.0,0.0,0.0,26.311029558988167,0.0,7.771517605163671,0.0,0.0,6.544756405912575,13.151638370425493,34.28916482814207,27.03309212809056,0.0,4.899909730850478,0.0,0.0,33.4127579479144,4.127401124897844,0.0,0.0,0.0,7.771517605163671,0.0,0.0,71.0449154812786,20.81849154855524,0.0,0.0,0.0,0.0,4.127401124897844,0.0,108.86,20.81849154855524,24.60711157382155,0.0,6.606881964512918,0.0,23.88560512562214,0.0,0.0,7.04767198267719,15.69003616986561,5.106527394840706,62.19361111111112,0.0,2.1805555555555554,8.538854875283448,0.0,0.0,0.0,2.1206944444444447,3.0001388888888885,-9.200521541950112,0.8333333333333334,18,1,8,0,1,1,0,0,0,0,0,0,6,1,12,1,4,0,0,0,0,0,6.766192636244136,1,-1.2463999999999993,59.18880000000002,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.036188235271045
112,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.OCCN1CC=[N+](C1)C,-3,26.4,11.438425925925927,11.438425925925927,0.26555555555555554,-6.721527777777777,0.5182812359820754,17.25,409.33000000000015,396.2260000000001,409.02008183600003,144,0,0.4802902001629027,-0.4206749315142703,0.4802902001629027,0.4206749315142703,1.0833333333333333,1.5,1.75,32.28904394143571,10.5518525449025,2.464373100144063,-2.2244944878290394,2.3561351124194685,-2.295778525821917,8.125009283901818,-0.5015820005202785,2.7158862019428542,4.957777608770377e-07,612.6710424625248,19.397341225498536,11.911908356774191,13.544901518629642,10.532805283882038,5.768756353623495,8.648883011224774,4.297754315620381,7.720124568705508,2.2720568228474534,5.012038889591558,1.202911760529366,2.9124940543722766,-0.9700000000000002,50417.711452867145,23.029999999999998,7.9398585943503095,6.875762968636076,133.01783360945626,9.23392851973855,7.04767198267719,32.92987407524963,0.0,0.0,11.01666100252851,0.0,26.311029558988167,26.34249028604892,0.0,0.0,0.0,6.544756405912575,13.151638370425493,52.86013750902732,26.261182886350483,0.0,4.899909730850478,0.0,11.01666100252851,33.4127579479144,4.127401124897844,0.0,0.0,0.0,26.34249028604892,0.0,0.0,82.06157648380709,20.046582306815168,0.0,0.0,0.0,0.0,4.127401124897844,0.0,108.86,31.063243309343676,43.178084254706796,0.0,6.606881964512918,0.0,23.88560512562214,0.0,0.0,7.04767198267719,15.69003616986561,5.106527394840706,111.30319444444446,0.0,2.1805555555555554,8.538854875283448,-12.40611111111111,0.0,0.0,2.1206944444444447,3.0001388888888885,-11.403993764172332,0.875,24,1,8,0,1,1,0,0,0,0,0,0,6,1,16,1,4,0,0,0,0,0,7.618955976161984,1,0.02420000000000022,69.08280000000002,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,27.632833019468357
